which	subject	payoff	n
safe	69	10.0	48
safe	69	14.0	48
safe	69	20.0	48
safe	69	28.0	48
safe	72	7.0	48
safe	72	10.0	47
safe	72	14.0	48
safe	72	20.0	48
safe	72	28.0	48
safe	74	7.0	48
safe	74	10.0	48
safe	74	14.0	48
safe	74	20.0	48
safe	74	28.0	48
