order	n_safe	ratio	p_vertex	cause	leverage	effect	noise_vertex	noise_ips	ratio_vertex	ratio_ips
Risky first	12.478260869565217	1.1304347826086956	0.9006449100261795	1.0169334233580793	0.18084697995731008	-0.018909097466677127	0.8589176575519066	0.8503373170826379	0.8259377386945955	0.8399236920913258
Risky first	13.391304347826086	1.1304347826086956	0.9050275117701778	1.0157332739956828	0.17500483873979633	-0.016126304806119873	0.8559235291127755	0.8454760545057357	0.8260933737433478	0.8390905271384699
Risky first	14.304347826086957	1.1304347826086956	0.9088886843076192	1.0147761352856115	0.16964475375280333	-0.013774009763743766	0.8519704973284261	0.8399225791355457	0.8262022823300466	0.8384103590270363
Risky first	15.217391304347826	1.1304347826086956	0.9121639729030212	1.0139884486340682	0.16492849041568142	-0.011792406295024316	0.8473964247216003	0.8339220163079406	0.8263874713751057	0.837947350070274
Risky first	16.130434782608695	1.1304347826086956	0.9148845748695335	1.013322573811948	0.160904534499034	-0.010138098388967065	0.8424305107729859	0.8276458461023254	0.8267103088009164	0.8377242179110149
Risky first	17.043478260869563	1.1304347826086956	0.9171307830789832	1.0127507024463072	0.1575426756652913	-0.0087793730283926	0.8372242385868311	0.8212115461021359	0.8271886627363718	0.8377358992418821
Risky first	17.956521739130434	1.1304347826086956	0.9190032684528457	1.012260589674489	0.15476264939675355	-0.007693454213860584	0.831874201490363	0.8146972921458894	0.8278086557699555	0.8379580780273412
Risky first	18.869565217391305	1.1304347826086956	0.9206086718463813	1.0118526098881098	0.15245342094297304	-0.0068653824560126475	0.8264382469432437	0.8081526275856588	0.8285321502832659	0.8383524186403302
Risky first	19.782608695652172	1.1304347826086956	0.9220545931590766	1.0115376688579758	0.1504834773386896	-0.0062876594905850736	0.8209466403294237	0.8016060809478018	0.8293016025643414	0.8388698098381174
Risky first	20.695652173913043	1.1304347826086956	0.9234495471737326	1.0113355911203985	0.14870461626735623	-0.005959901506291887	0.8154096950830579	0.7950705705769973	0.8300434848863528	0.8394525184431753
